study,questionnaire,question,item,number,concept,text,instruction,answer_list,scale,filter,goto,label,description,dummy,meta,view_sort_id,view_lft,view_rgt,view_import_note,view_import_concept,view_import_type,view_first_concept,view_calculated_number,view_calculated_item,text_de,instruction_de
soep-is,soep-is-2012-aufwuchs,Q24637,,0,,When did you stop working in that job?,,,txt,Q24636;PEND1=1,,Month / year withdrawal last job,,,,2370,1407,1410,,,,,,,Wann haben Sie bei dieser Stelle aufgehört zu arbeiten?,"Wenn Sie seit Dezember 2010 aus mehreren Stellen ausgeschieden sind, beziehen Sie sich bitte auf die letzte Stelle."
soep-is,soep-is-2012-aufwuchs,Q24637,0,0,,2012 in month:,,,int,,,Month 2012 exit last job,,,,2372,,,,,,,,,2012 im Monat:,
soep-is,soep-is-2012-aufwuchs,Q161,,0,,Are you currently engaged in paid employment? Which of the following applies best to your status? ,,perw,cat,,,Current Employment Status,,,,2373,1408,1411,,,,,,,Üben Sie derzeit eine Erwerbstätigkeit aus? Was trifft für Sie zu?,"Rentner oder Personen im Bundesfreiwilligendienst, die zusätzlich eine Erwerbstätigkeit ausüben, geben hier bitte die Erwerbstätigkeit an.

-> Liste 161 vorlegen"
soep-is,soep-is-2012-aufwuchs,Q162,,0,,Is this part-time employment provided for under the Federal Child-Raising Allowance Act (Bundeserziehungsgeldgesetz)?,,paz12,cat,Q161;PERW=2,,Parental Part-Time Y/N,,,,2374,1410,1412,,,,,,,"Ist das eine Teilzeitbeschäftigung nach dem Gesetz zur Elternteilzeit (nach Bundeselterngeld- und Elternzeitgesetz, BEEG)?",
soep-is,soep-is-2012-aufwuchs,Q163,,0,,Is the job part of a job-creation measure (ABM) or is it a so-called 1-Euro Job (community work)?,,pbefr2,cat,"Q161;PERW=2,4",,Govt Make-Work Position,,,,2375,1411,1413,,,,,,,"Handelt es sich um eine ABM-Stelle oder eine gemeinnützige Arbeit, also einen sogenannten 1-Euro-Job?",
soep-is,soep-is-2012-aufwuchs,Q164,,0,,Is the job marginal part-time work in accordance with the 400/800-euro rule (Mini-Job / Midi-Job)?,,paz11,cat,Q161;PERW=2 | (Q161;PERW=4 & Q162;PAZ12=2),,Marginal Employment Regulations (Mini-/Midi-Job),,,,2376,1412,1414,,,,,,,Ist das eine geringfügige Beschäftigung nach der 400- bzw. 800-Euro-Regelung (Mini- bzw. Midi-Job)?,
soep-is,soep-is-2012-aufwuchs,Q164b,,0,,What was the last year in which you were employed?,,,txt,Q161:PERW=9,,Last Employment,,,,2377,1413,1416,,,,,,,In welchem Jahr sind Sie zuletzt erwerbstätig gewesen?,
soep-is,soep-is-2012-aufwuchs,Q164b,0,0,,"Does not apply, I have never been employed",,,bin,,,Never/Not Yet Employed,,,,2379,,,,,,,,,"Trifft nicht zu, war nie erwerbstätig 
",
soep-is,soep-is-2012-aufwuchs,Q164c,,0,,"In your last job, were you employed full-time, part-time, or in marginal or irregular employment?",,lstd,cat,Q164b;LEND=1,,Extent of Previous Job,,,,2380,1414,1417,,,,,,,"Waren Sie zuletzt voll berufstätig, teilzeitbeschäftigt oder geringfügig beziehungsweise unregelmäßig erwerbstätig?",
soep-is,soep-is-2012-aufwuchs,Q164d,,0,,Was the company you last worked for part of the public sector or th public administration?,,l0ed,cat,Q164b;LEND=1,,Last Firm: Public Service,,,,2381,1416,1418,,,,,,,"Gehörte der Betrieb, in dem Sie zuletzt arbeiteten, zum öffentlichen Dienst bzw. zur Staatsverwaltung?",
soep-is,soep-is-2012-aufwuchs,Q166,,0,,Do you intend to get a job (or start working again) in the future?,,pnerw02,cat,"Q161;PERW=7,8,9 | Q160d;PALO=1",,Future Employment,,,,2382,1417,1419,,,,,,,"Beabsichtigen Sie, in der Zukunft eine Erwerbstätigkeit aufzunehmen?",-> Liste 166 vorlegen
soep-is,soep-is-2012-aufwuchs,Q167,,0,,Have you actively looked for work within the last four weeks?,,pnerw10,cat,"Q166;PNERW02=2,3,4",,Looked for Work in Last 4 Weeks,,,,2383,1418,1420,,,,,,,Haben Sie innerhalb der letzten vier Wochen aktiv nach einer Stelle gesucht?,
soep-is,soep-is-2012-aufwuchs,Q168,,0,,"If someone offered you an appropriate position right now, could you start working within the next two weeks?",,pnerw09,cat,"Q166;PNERW02=2,3,4",,Be Able to Start Work Immediately,,,,2384,1419,1421,,,,,,,"Wenn man Ihnen jetzt eine passende Stelle anbieten würde, könnten Sie dann innerhalb der nächsten zwei Wochen anfangen zu arbeiten?",
soep-is,soep-is-2012-aufwuchs,Q24539,,0,,"In your opinion, how likely is it that you start a paid employment within the next 2 years?",,fm05,cat,"Q166;PNERW02=2,3,4",,Employment within next two years Likelihood,"Researcher Notes:
gehört zum Modul Investitionsentscheidung
**
**Filter prüfen!",,,2385,1420,1422,,,,,,,"Wie wahrscheinlich ist es Ihrer Meinung nach, dass sie in den nächsten 2 Jahren eine bezahlte Beschäftigung aufnehmen?","Bitte geben Sie die Wahrscheinlichkeit auf einer Skala von 0 bis 100 an.
Der Wert ""0""bedeutet: Das wird mit Sicherheit nicht eintreten.
Der Wert ""100"" bedeutet: Das wird mit Sicherheit eintreten.
Mit den Werten zwischen 0 und 100 können Sie die Wahrscheinlichkeit abstufen.

-> Liste 24539 vorlegen"
soep-is,soep-is-2012-aufwuchs,Q172,,0,,What is your current position/occupation? ,,,chr,"Q161;PERW=1,2,3,4",,Nat.Stat.Office-Occupation (Infratest),,,,2386,1421,1423,,,,,,,Welche berufliche Tätigkeit üben Sie derzeit aus?,"Bitte geben Sie die genaue Tätigkeitsbezeichnung an, also z.B. nicht ""kaufmännische
Angestellte"", sondern: ""Speditionskauffrau"", nicht ""Arbeiter"", sondern: ""Maschinenschlosser"".
Wenn Sie Beamter sind, geben Sie bitte Ihre Amtsbezeichnung an, z.B. ""Polizeimeister"",
oder ""Studienrat"". Wenn Sie Auszubildender sind, geben Sie bitte Ihren Ausbildungsberuf an."
soep-is,soep-is-2012-aufwuchs,Q173,,0,,Do you work for a public sector employer?,,poed,cat,"Q161;PERW=1,2,3,4",,Public Service,,,,2387,1422,1424,,,,,,,"Gehört der Betrieb, in dem Sie arbeiten, zum öffentlichen Dienst?",
soep-is,soep-is-2012-aufwuchs,Q174,,0,,In which branch of business or industry is your company or institution active for the most part? ,,,chr,"Q161;PERW=1,2,3,4",,Industry Branch / Sector NACE (Infratest),,,,2388,1423,1425,,,,,,,In welchem Wirtschaftszweig oder welcher Branche beziehungsweise welchem Dienstleistungsbereich ist das Unternehmen beziehungsweise die Einrichtung überwiegend tätig?,"Bitte geben Sie die genaue Bezeichnung an, z.B. nicht ""Industrie"", sondern ""Elektroindustrie""; nicht ""Handel"", sondern ""Einzelhandel""; nicht ""öffentlicher Dienst"", sondern ""Krankenhaus""."
soep-is,soep-is-2012-aufwuchs,Q175,,0,,What is your current occupational status? ,,x,cat,"Q161;PERW=1,2,3,4",,Occupational Status,"Researcher Notes:
Codierung:
**enstsprechend Q177 bis Q180 umsetzen.
**Var1 = PARB
**Var2 = PANG
**Var3 = PSST1
**Var4 = PAMT
**Var5 = PAZUBI
**Gesamtka: PBERKA",,,2389,1424,1426,,,,,,,In welcher beruflichen Stellung sind Sie derzeit beschäftigt?,"Wenn Sie mehr als eine berufliche Tätigkeit ausüben, beantworten Sie die folgenden
Fragen bitte nur für Ihre derzeitige berufliche Haupttätigkeit.

-> Liste 175 vorlegen"
soep-is,soep-is-2012-aufwuchs,Q176,,0,,"In your position at work, do you supervise others? In other words, do people work under your direction?",,pvor1,cat,"Q161;PERW=1,2,4",,"Supervises others, leadership position",,,,2390,1425,1427,,,,,,,"Sind Sie anderen bei der Arbeit leitend vorgesetzt, d.h. dass
Personen nach Ihren Anweisungen arbeiten?",
soep-is,soep-is-2012-aufwuchs,Q177,,0,,In what occupational position are you currently employed as a blue-collar worker?,,parb,cat,Q175;X=1,,Blue-Collar Worker,,,,2391,1426,1428,,,,,,,In welcher beruflichen Stellung sind Sie derzeit als Arbeiter beschäftigt?,-> Liste 175 vorlegen
soep-is,soep-is-2012-aufwuchs,Q178,,0,,In what occupational position are you currently employed as a white-collar worker?,,pang,cat,Q175;X=2,,White-Collar Worker,,,,2392,1427,1429,,,,,,,In welcher beruflichen Stellung sind Sie als Angestellter beschäftigt?,-> Liste 175 vorlegen
soep-is,soep-is-2012-aufwuchs,Q179,,0,,In what occupational position are you currently employed as a civil servant?,,pamt,cat,Q175;X=4,,Civil Servant,,,,2393,1428,1430,,,,,,,In welcher beruflichen Stellung sind Sie derzeit als Beamter beschäftigt?,-> Liste 175 vorlegen
soep-is,soep-is-2012-aufwuchs,Q180,,0,,In what occupational position are you currently employed as a apprentice/ trainee and intern,,pazubi,cat,Q175;X=5,,"Trainee, Assistant",,,,2394,1429,1431,,,,,,,In welcher beruflichen Stellung sind Sie derzeit als Auszubildender oder Praktikant beschäftigt?,->Liste 175 vorlegen
soep-is,soep-is-2012-aufwuchs,Q181,,0,,Since when have you been working for your current employer?,,,txt,"Q175;X=1,2,4,5",,Start Current Position ,"Researcher Notes:
Nachfrage bei unplausibler Angabe",,,2395,1430,1433,,,,,,,Seit wann sind Sie bei Ihrem jetzigen Arbeitgeber beschäftigt?,"-> Befragungsmonat ist [aktuellen Monat einblenden/2012], Angabe darf kein späteres Datum ergeben"
soep-is,soep-is-2012-aufwuchs,Q181,0,0,,Month,,,bin,,,Start Current Position (Month),,,,2397,,,,,,,,,Monat,
soep-is,soep-is-2012-aufwuchs,Q24524,,0,,"In your opinion, how likely is it that you lose your current position within the next 2 years?",,fm06,cat,"Q175;X=1,2,4",,Loss of Job within next 2 years Likelihood,"Researcher Notes:
gehört zum Modul Investitionsentscheidung",,,2398,1431,1434,,,,,,,"Wie wahrscheinlich ist es Ihrer Meinung nach, dass sie in den nächsten 2 Jahren Ihren Arbeitsplatz verlieren?","Bitte geben Sie die Wahrscheinlichkeit auf einer Skala von 0 bis 100 an.
Der Wert ""0""bedeutet: Das wird mit Sicherheit nicht eintreten.
Der Wert ""100"" bedeutet: Das wird mit Sicherheit eintreten.
Mit den Werten zwischen 0 und 100 können Sie die Wahrscheinlichkeit abstufen.

-> Liste 24524 vorlegen"
soep-is,soep-is-2012-aufwuchs,Q182,,0,,Is this work temporary or on a contractual basis? (Zeitarbeit / Leiharbeit),,pzaf,cat,"Q175;X=1,2",,Employed By Employment Agency,,,,2399,1433,1435,,,,,,,Handelt es sich um ein Zeitarbeits- bzw. Leiharbeitsverhältnis?,
soep-is,soep-is-2012-aufwuchs,Q183,,0,,Do you have a fixed-term or permanent employment contract?,,pbefr1,cat,"Q175;X=1,2,4,5",,Time Limited Work Contract,,,,2400,1434,1436,,,,,,,Haben Sie einen unbefristeten Arbeitsvertrag oder ein befristetes Arbeitsverhältnis?,
soep-is,soep-is-2012-aufwuchs,Q24559,,0,,Employees can use parts of their salary for occupational pension schemes in the form of deferred compensation. Do you take theopportunity of deferred compensation?,,sim03,cat,"Q175;X=1,2,4,5",,Retirement Provision: Deferred Compensation,,,,2401,1435,1437,,,,,,,"Beschäftigte können Teile ihres Gehalts für die betriebliche Altersvorsorge in Form der Entgeltumwandlung verwenden. 
Nehmen Sie die Möglichkeit der Entgeltumwandlung wahr?",
soep-is,soep-is-2012-aufwuchs,Q184,,0,,Approximately how many people does the company as a whole employ?,,pgesunt,cat,"Q175;X=1,2,4,5",,Number Employees in Firm (Firm Size),,,,2402,1436,1438,,,,,,,"Wie viele Beschäftigte hat das Gesamtunternehmen, für das Sie arbeiten etwa?",-> Liste 184 vorlegen
soep-is,soep-is-2012-aufwuchs,Q185,,0,,In what occupational position are you currently self-employed?,,psst x1,cat,Q175;X=3,,Self-Employed,"Researcher Notes:
Codierung:
**Var1 = PSST1
**Var2 = PSST2
**Var3 = PSST3
**Codes lt. Q186 vergeben
**
**Var4 = PSST4 = 1",,,2403,1437,1439,,,,,,,In welcher beruflichen Stellung sind Sie als Selbständiger derzeit beschäftigt?,-> Liste 175 vorlegen
soep-is,soep-is-2012-aufwuchs,Q186,,0,,Please specify the number of your employees and staff.,,psst x2,cat,"Q185;PSSTX1=1,2,3",,Number of employees/staff for self-employed,"Researcher Notes:
Codierung:
**1, 2 oder 3 in 
**PSST1
**PSST2
**PSST3",,,2404,1438,1440,,,,,,,Bitte benennen Sie die Anzahl Ihrer Mitarbeiter und Angestellten.,
soep-is,soep-is-2012-aufwuchs,Q192.2,,0,,"How much did you earn from your work last month? If you had extra income in the last month, e.g.: vacation pay or subsequent payments, please do not accout that. But please include overtime payments.
If you are self-employed, please estimate your monthly income before and after tax. If possible, please state both: your gross income, which means income before tax and social security deductions and your net income, which means income after tax, social security, and unemployment and health insurance deductions.",,,txt,"Q161;PERW=1,2,3,4,7,8",,Income Gross/Net Last Month,"Researcher Notes:
Range: 0-999999
**
**Nachfrage bei unplausibler Angabe",,,2405,1439,1442,,,,,,,"Wie hoch war Ihr Arbeitsverdienst im letzten Monat?
Wenn Sie im letzten Monat Sonderzahlungen hatten, z.B. Urlaubsgeld oder
Nachzahlungen, rechnen Sie diese bitte nicht mit. Entgelt für Überstunden rechnen Sie
dagegen mit.
Falls Sie selbständig sind: Bitte schätzen Sie Ihren monatlichen Gewinn vor und nach
Steuern
Bitte geben Sie nach Möglichkeit beides an:
-den Bruttoverdienst, das heißt Lohn oder Gehalt vor Abzug der Steuern und Sozialversicherung 
-und den Nettoverdienst, das heißt den Betrag nach Abzug von Steuern und Beiträgen zur Renten-, Arbeitslosen- und Krankenversicherung.",Eine Brutto-Angabe ist in der Regel größer als eine Netto-Angabe!
soep-is,soep-is-2012-aufwuchs,Q192.2,0,0,,My net income was ___ euros,,,int,,,Net Income Last Month,,,,2407,,,,,,,,,Der Arbeitsverdienst betrug: Euro netto,
soep-is,soep-is-2012-aufwuchs,Q193.2,,0,,"In addition to main position, household, apprenticeship or as retirees, sometimes people have a side job. Do you have one or more side jobs?",,pjob x,cat,,,Second Job Y/N,,,,2408,1440,1443,,,,,,,"Neben Beruf, Haushalt, Ausbildung oder als Rentner kann man ja noch Nebentätigkeiten ausüben. Üben Sie eine oder mehrere Nebentätigkeiten aus?",Nicht gemeint ist die schon beschriebene Erwerbstätigkeit!
soep-is,soep-is-2012-aufwuchs,Q194.2,,0,,What was your gross income from this job last month?,,,txt,Q193;PJOBX=1,,Gross Amount of Second Job Last Month,"Researcher Notes:
Nachfrage bei unplausibler Angabe",,,2409,1442,1445,,,,,,,Wie hoch war Ihr Bruttoverdienst aus dieser Tätigkeit im letzten Monat?,
soep-is,soep-is-2012-aufwuchs,Q194.2,0,0,,Euros,,,int,,,Gross Amount of Second Job Last Month – Euros,,,,2410,,,,,,,,,Euro,
soep-is,soep-is-2012-aufwuchs,Q24540,,0,,"I'm now going to read out different types of money stocks and investments. Please tell me for each of the following, whether you have such monetary assets or not. Do you have…?",,,txt,,,Assets yes / no,"Researcher Notes:
gehört zu Modul Investitonsentscheidungen
",,,2411,1443,1447,,,,,,,"Ich lese Ihnen jetzt verschiedene Arten von Geldbeständen und Geldanlagen vor. Bitte sagen Sie mir jeweils, ob Sie über ein derartiges Geldvermögen verfügen oder nicht. Verfügen Sie über...",-> Liste 24540 vorlegen -> Vorgaben bitte vorlesen.
soep-is,soep-is-2012-aufwuchs,Q24540,0,0,,… other security papers or asset sharings?,,fm07,cat,,,Assets yes / no – Other Security Papers,,,,2421,,,,,,,,,...sonstige Wertpapiere und Vermögensbeteiligungen?,
soep-is,soep-is-2012-aufwuchs,Q24529.01,,0,,"And what is the respective money supply or money investment worth? 
What is the current approximate value of your personal bank giro account?",,,int,Q24540:FM0701=1,,Assets amount - Personal Bank Giro Account,"Researcher Notes:
gehört zu Modul Investitonsentscheidungen",,,2422,1445,1448,,,,,,,Und wie hoch ist der jeweilige Wert Ihres Geldbestandes beziehungsweise Ihrer Geldanlage? Wie hoch ist derzeit in etwa der Wert auf Ihrem Girokonto?,
soep-is,soep-is-2012-aufwuchs,Q24529.02,,0,,"And what is the respective money supply or money investment worth? 
What is the current approximate value of your savings bank books?",,,int,Q24540:FM0702=1,,Assets amount – Savings Bank Books,,,,2423,1447,1449,,,,,,,Und wie hoch ist der jeweilige Wert Ihres Geldbestandes beziehungsweise Ihrer Geldanlage? Wie hoch ist derzeit in etwa der Wert Ihrer Sparbücher?,
soep-is,soep-is-2012-aufwuchs,Q24529.03,,0,,"And what is the respective money supply or money investment worth? 
What is the current approximate value of your direct access savings account?",,,int,Q24540:FM0703=1,,Assets amount - Direct Access Savings Account,,,,2424,1448,1450,,,,,,,Und wie hoch ist der jeweilige Wert Ihres Geldbestandes beziehungsweise Ihrer Geldanlage? Wie hoch ist derzeit in etwa der Wert Ihrer Tagesgeldkonten?,
soep-is,soep-is-2012-aufwuchs,Q24529.04,,0,,"And what is the respective money supply or money investment worth? 
What is the current approximate value of your fixed-term deposit accounts?",,,int,Q24540:FM0704=1,,Assets amount – Fixed-Term Deposit Accounts,,,,2425,1449,1451,,,,,,,Und wie hoch ist der jeweilige Wert Ihres Geldbestandes beziehungsweise Ihrer Geldanlage? Wie hoch ist derzeit in etwa der Wert Ihrer Festgeldkonten?,
soep-is,soep-is-2012-aufwuchs,Q24529.05,,0,,"And what is the respective money supply or money investment worth? 
What is the current approximate value of your mortgage bonds or municipal bonds, bank debentures, fixed interest bearing bonds or sovereign bonds?",,,int,Q24540:FM0705=1,,Assets amount – Mortage Bonds etc.,,,,2426,1450,1452,,,,,,,"Und wie hoch ist der jeweilige Wert Ihres Geldbestandes beziehungsweise Ihrer Geldanlage? Wie hoch ist derzeit in etwa der Wert Ihrer Pfandbriefe oder Kommunalobligationen, Bankschuldverschreibungen, Rentenwerte oder Staatsanleihen?",
soep-is,soep-is-2012-aufwuchs,Q24529.06,,0,,"And what is the respective money supply or money investment worth? 
What is the current approximate value of your share funds?",,,int,Q24540:FM0706=1,,Assets amount – Share Funds,,,,2427,1451,1453,,,,,,,"Und wie hoch ist der jeweilige Wert Ihres Geldbestandes beziehungsweise Ihrer Geldanlage? Wie hoch ist derzeit in etwa der Wert Ihrer Aktienfonds, Aktien und Aktienanleihen?",
soep-is,soep-is-2012-aufwuchs,Q24529.07,,0,,"And what is the respective money supply or money investment worth? 
What is the current approximate value of your real estate funds?",,,int,Q24540:FM0707=1,,Assets amount – Real Estate Funds,,,,2428,1452,1454,,,,,,,Und wie hoch ist der jeweilige Wert Ihres Geldbestandes beziehungsweise Ihrer Geldanlage? Wie hoch ist derzeit in etwa der Wert Ihrer Immobilienfonds?,
soep-is,soep-is-2012-aufwuchs,Q24529.08,,0,,"And what is the respective money supply or money investment worth? 
What is the current approximate value of your  a pension- or money market fund?",,,int,Q24540:FM0708=1,,Assets amount – Pension – and Money Market Fund,,,,2429,1453,1455,,,,,,,Und wie hoch ist der jeweilige Wert Ihres Geldbestandes beziehungsweise Ihrer Geldanlage? Wie hoch ist derzeit in etwa der Wert Ihrer Renten- oder Geldmarktfonds?,
soep-is,soep-is-2012-aufwuchs,Q24529.09,,0,,"And what is the respective money supply or money investment worth? 
What is the current approximate value of your other fonds, i.e. mixed funds, index funds, as-funds, fund of funds, hedge funds?",,,int,Q24540:FM0709=1,,Assets amount – Other Fonds etx,,,,2430,1454,1456,,,,,,,"Und wie hoch ist der jeweilige Wert Ihres Geldbestandes beziehungsweise Ihrer Geldanlage? Wie hoch ist derzeit in etwa der Wert Ihrer sonstigen Fonds, wie Mischfonds, AS-Fonds, Dachfonds, Hedge-Fonds?",
soep-is,soep-is-2012-aufwuchs,Q24529.10,,0,,"And what is the respective money supply or money investment worth? 
What is the current approximate value of your other security papers or asset sharings?",,,int,Q24540:FM0710=1,,Assets amount – Other Security Papers,,,,2431,1455,1457,,,,,,,Und wie hoch ist der jeweilige Wert Ihres Geldbestandes beziehungsweise Ihrer Geldanlage? Wie hoch ist derzeit in etwa der Wert Ihrer sonstigen Wertpapiere und Vermögensbeteiligungen?,
soep-is,soep-is-2012-aufwuchs,Q24527,,0,,"Some savings and investments are done to be able to afford something relatively soon. Other savings are done with the intention to access it much later for instance at the old age. For all your savings and investments, what is your average investment horizon?",,fm09,cat,,,Investment Horizon,"Researcher Notes:
gehört zu Modul Investitonsentscheidungen
",,,2432,1456,1458,,,,,,,"Manches spart und investiert man, um sich relativ bald von dem Angesparten etwas leisten zu können. Manches spart man hingegen in der Absicht, erst sehr viel später, etwa im Alter, darauf zurückzugreifen. 
Über all Ihre Ersparnisse und Anlagen, wie ist Ihr durchschnittlicher Anlagehorizont?",-> Liste 24527 vorlegen
soep-is,soep-is-2012-aufwuchs,Q24535,,0,,"How well do you know financial matters all in all? Not at all, a little, good or very good?",,fm10,cat,,,Personal financial expertise,"Researcher Notes:
gehört zu Modul Investitonsentscheidungen
",,,2433,1457,1459,,,,,,,"Wie gut kennen Sie sich alles in allem in finanziellen Angelegenheiten aus? Gar nicht, ein bisschen, gut oder sehr gut?",
soep-is,soep-is-2012-aufwuchs,Q24536,,0,,Below some reasons for saving are enlisted. How important are these reasons for you personally?,,,txt,,,Reasons for saving,"Researcher Notes:
gehört zu Modul Investitonsentscheidungen
",,,2434,1458,1461,,,,,,,"Im Folgenden sind einige Gründe aufgeführt, weshalb man sparen kann. Wie wichtig sind diese Gründe für Sie persönlich?","Antworten Sie bitte anhand der folgenden Skala. Der Wert 0 bedeutet: ganz und gar unwichtig. Der Wert 10 bedeutet: sehr wichtig. Mit den Werten dazwischen können Sie Ihre Einschätzung abstufen.

-> Liste 24536 vorlegen"
soep-is,soep-is-2012-aufwuchs,Q24536,0,0,,"Use of governmental incentives, such as the building savings premium",,fm11,cat,,,Reasons for saving - Use of state incentives,,,,2443,,,,,,,,,"Inanspruchnahme der staatlichen Fördermöglichkeiten, wie z.B. eine Bausparprämie",
soep-is,soep-is-2012-aufwuchs,Q24537,,0,,"Assuming that you have 100 € deposit in your savings account. This credit bears interest at 20% per year and you leave it on this account for 5 years.
How much credit will your savings account after 5 years? ",,fm12,cat,,,Comprehension question: interest rate,"Researcher Notes:
gehört zu Modul Investitonsentscheidungen
",,,2444,1459,1462,,,,,,,"Angenommen, Sie haben 100 € Guthaben auf Ihrem Sparkonto. Dieses Guthaben wird mit 20% pro Jahr verzinst, und Sie lassen es 5 Jahre auf diesem Konto.
Wie viel Guthaben weist Ihr Sparkonto nach 5 Jahren auf?",
soep-is,soep-is-2012-aufwuchs,Q24538,,0,,"What do you think: Which of the following forms of investment showt he highest fluctuation of return over time? Savings accounts, fixed income securities or stocks?",,fm13,cat,,,Comprehension question: financial assets,"Researcher Notes:
gehört zu Modul Investitonsentscheidungen
",,,2445,1461,1463,,,,,,,"Was glauben Sie: Welche der folgenden Anlageformen zeigt im Laufe der Zeit die höchsten Ertragsschwankungen? Sparbücher, festverzinsliche Wertpapiere oder Aktien?",
soep-is,soep-is-2012-aufwuchs,Q24541intro,,0,,Now we come to another topic. There are always events and changes in various areas of life that can be experienced as particularly challenging - this is positive or negative kind,,,txt,,,Connection,,,,2446,1462,1464,,,,,,,"Kommen wir nun zu einem anderen Thema. Es gibt immer wieder Ereignisse und Veränderungen in verschiedenen Bereichen des Lebens, die man als besonders herausfordernd erlebt - sei dies positiver oder negativer Art.",
soep-is,soep-is-2012-aufwuchs,Q24541,,0,,Please think of your health over the course of the last year. Were there any events or changes – be those positive or negative – that you have experienced as being particularly challenging and that had consequences that are still noticeable today?,,csm01,cat,,,Perceived health stress ,,,,2447,1463,1466,,,,,,,"Bitte denken Sie zunächst an Ihre Gesundheit. 
Gab es dort im Laufe des vergangenen Jahres ein Ereignis oder eine Veränderung, die Sie als besonders herausfordernd erlebt haben und die Sie immer noch beschäftigt - 
sei dies positiver oder negativer Art?",
soep-is,soep-is-2012-aufwuchs,Q24541,0,0,,"Yes, in fact: ",,,chr,,,Perceived health stress – Yes in fact,,,,2448,,,,,,,,,"Ja, und zwar:",
soep-is,soep-is-2012-aufwuchs,Q24542,,0,,"Question to the Interviewer:  Was the event or change described rather positive, neutral or negative from the  interviewee?",,csm02,cat,Q24541;CSM01=1,,Interviewer question: valency of health,,,,2449,1464,1467,,,,,,,"Frage an den Interviewer:

Ist das Ereignis oder die Veränderung eher positiv, neutral oder negativ von den Befragten beschrieben worden?",
soep-is,soep-is-2012-aufwuchs,Q24543,,0,,Have you had any influence on those changes or their consequences?,,csm03,cat,Q24541;CSM01=1,,Influence on change of health,,,,2450,1466,1468,,,,,,,"Hatten Sie das Gefühl, dass sie diese Veränderung und ihre Folgen beeinflussen konnten?","Antworten Sie bitte anhand der folgenden Skala von 1 bis 10, wobei 0 ""überhaupt nicht"" und 10 ""voll und ganz"" bedeutet. Mit den Werten dazwischen können Sie Ihre Einschätzung abstufen.

-> Liste 24543 vorlegen"
soep-is,soep-is-2012-aufwuchs,Q24544A,,0,,Please continue to think about your health: To what extent do the following statements apply to you in terms of your health?,,,txt,,,Control striving health,,,,2451,1467,1470,,,,,,,Denken Sie bitte weiter an Ihre Gesundheit: Inwieweit treffen die folgenden Aussagen in Bezug auf Ihre Gesundheit zu?,"Antworten Sie bitte anhand der folgenden Skala von 0 bis 10, wobei 0 ""trifft überhaupt nicht zu"" und 10 ""trifft voll und ganz zu"" bedeutet. Mit den Werten dazwischen können Sie Ihre Einschätzung abstufen.
-> Liste 24544 vorlegen"
soep-is,soep-is-2012-aufwuchs,Q24544A,0,0,,"If I cannot attain a goal, I put effort into other meaningful goals.",,csm04,cat,,,Control striving health – In unattainability putting effort into other meaningful goals,,,,2457,,,,,,,,,"Wenn ich ein Ziel nicht erreichen kann, verfolge ich andere Ziele, die mir wichtig sind.",
soep-is,soep-is-2012-aufwuchs,Q24544B,,0,,Continued,,,txt,,,,,,,2458,1468,1472,,,,,,,Fortsetzung,
soep-is,soep-is-2012-aufwuchs,Q24544B,0,0,,"If I can’t attain a goal one way, I look for alternative ways to still get to it.",,csm04,cat,,,Control striving health – Looking for alternative ways to get to goal,,,,2464,,,,,,,,,"Wenn ich beim Verfolgen eines Ziels nicht weiterkomme, suche ich nach neuen Wegen, um es doch noch zu erreichen.",
soep-is,soep-is-2012-aufwuchs,Q24545,,0,,"Please think of your work life or education or job search, depending on what was relevant for you over the course of the last year. Were there any events or changes – be those positive or negative – that you have experienced as being particularly challenging and that had consequences that are still noticeable today?",,csm05,cat,"Q160d;PALO=1 | Q161;PERW=1,2,3,4,7,8",,Perceived stress in work life/ education,,,,2465,1470,1474,,,,,,,"Bitte denken Sie jetzt an Ihr Arbeitsleben beziehungsweise Ihre Ausbildung oder Ihre Arbeitssuche, je nachdem was für Sie im Laufe des vergangenen Jahres relevant war. 
Gab es da ein Ereignis oder eine Veränderung, die Sie als besonders herausfordernd erlebt haben und die Sie immer noch beschäftigt - sei dies positiver oder negativer Art?",
soep-is,soep-is-2012-aufwuchs,Q24545,0,0,,"Yes, in fact: ",,,chr,,,"Perceived stress in work life/ education – Yes, in fact",,,,2466,,,,,,,,,"Ja, und zwar:",
soep-is,soep-is-2012-aufwuchs,Q24546,,0,,"Question to the Interviewer:  Was the event or change described rather positive, neutral or negative from the  interviewee?",,csm06,cat,Q24545;CSM05=1,,Interviewer question: valency of work life,,,,2467,1472,1475,,,,,,,"Frage an den Interviewer:

Ist das Ereignis oder die Veränderung eher positiv, neutral oder negativ von den Befragten beschrieben worden?",
soep-is,soep-is-2012-aufwuchs,Q24547,,0,,Have you had any influence on those changes or their consequences?,,csm07,cat,Q24545;CSM05=1,,Influence on change in work life,,,,2468,1474,1476,,,,,,,"Hatten Sie das Gefühl, dass sie diese Veränderung und ihre Folgen beeinflussen konnten?","Antworten Sie bitte anhand der folgenden Skala von 1 bis 10, wobei 0 ""überhaupt nicht"" und 10 ""voll und ganz"" bedeutet. Mit den Werten dazwischen können Sie Ihre Einschätzung abstufen.
-> Liste 24547 vorlegen"
