study,questionnaire,concept,question,item,number,text_de,text,instruction_de,instruction,answer_list,scale,filter,goto,label,description,dummy,meta,view_sort_id,view_lft,view_rgt,view_import_note,view_import_concept,view_import_type,view_first_concept,view_calculated_number,,,label_de,,,,,
soep-is,soep-is-2012-haupt,pek031,Q157.3,pek031,157,Bruttobetrag pro Monat … Euro,Gross amount per month … Euro,,,,int,,,,,,,,,,,,,,,,,,,,,,
soep-is,soep-is-2012-haupt,,Q157.4,,157,"Für alle zutreffenden Einkünfte geben Sie bitte an, 
wie hoch derzeit der Betrag im Monat ist.
Unterhaltsgeld bei Fortbildung/  Umschulung; Übergangsgeld 
Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.","For all the applicable sources of income, please indicate how large an amount is each month. 
Support for further training and education (""Unterhaltsgeld bei Fortbildung"") / Transition pay (""Übergangsgeld"")
If you are unable to state the exact amount, please estimate","Falls die Zielperson grundsätzlich nicht bereit ist, Angaben über das Einkommen zu geben, weisen Sie sie bitte darauf hin, dass es sich hierbei um eine zentrale Frage handelt.

Bruttobetrag heißt: vor Abzug eventueller Steuern oder Sozialversicherungsbeiträge. Falls Sie mehrere haben, bitte zusammenrechnen!","If the target person is basically not willing to give details of the income, please point out that this is a key issue",,txt,,,"Support for further training and education (""Unterhaltsgeld bei Fortbildung"") / Transition pay (""Übergangsgeld"") - Income ",,,,,,,,,,,,,,Einkünfte - Unterhaltsgeld bei Fortbildung/  Umschulung; Übergangsgeld,pek051,P12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,pek051,Q157.4,pek051,157,Bruttobetrag pro Monat … Euro,Gross amount per month … Euro,,,,int,,,,,,,,,,,,,,,,,,,,,,
soep-is,soep-is-2012-haupt,,Q157.5,,157,"Für alle zutreffenden Einkünfte geben Sie bitte an, 
wie hoch derzeit der Betrag im Monat ist.
Mutterschaftsgeld während des Mutterschutzes, Elterngeld 
Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.","For all the applicable sources of income, please indicate how large an amount is each month. 
Maternity benefit during maternity leave (""Elterngeld"", ""Erziehungsgeld"")
If you are unable to state the exact amount, please estimate","Falls die Zielperson grundsätzlich nicht bereit ist, Angaben über das Einkommen zu geben, weisen Sie sie bitte darauf hin, dass es sich hierbei um eine zentrale Frage handelt.

Bruttobetrag heißt: vor Abzug eventueller Steuern oder Sozialversicherungsbeiträge. Falls Sie mehrere haben, bitte zusammenrechnen!","If the target person is basically not willing to give details of the income, please point out that this is a key issue",,txt,,,"Maternity benefit during maternity leave (""Elterngeld"", ""Erziehungsgeld"") - Income ",,,,,,,,,,,,,,"Einkünfte -  Mutterschaftsgeld, Elterngeld",pek071,P12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,pek071,Q157.5,pek071,157,Bruttobetrag pro Monat … Euro,Gross amount per month … Euro,,,,int,,,,,,,,,,,,,,,,,,,,,,
soep-is,soep-is-2012-haupt,,Q157.6,,157,"Für alle zutreffenden Einkünfte geben Sie bitte an, 
wie hoch derzeit der Betrag im Monat ist.
Kindesunterhalt 
Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.","For all the applicable sources of income, please indicate how large an amount is each month. 
Child support (""Kinderunterhalt"") 
If you are unable to state the exact amount, please estimate","Falls die Zielperson grundsätzlich nicht bereit ist, Angaben über das Einkommen zu geben, weisen Sie sie bitte darauf hin, dass es sich hierbei um eine zentrale Frage handelt.

Bruttobetrag heißt: vor Abzug eventueller Steuern oder Sozialversicherungsbeiträge. Falls Sie mehrere haben, bitte zusammenrechnen!","If the target person is basically not willing to give details of the income, please point out that this is a key issue",,txt,,,"Child support (""Kinderunterhalt"") - Income ",,,,,,,,,,,,,,Einkünfte - Kindesunterhalt,pek201,P12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,pek201,Q157.6,pek201,157,Bruttobetrag pro Monat … Euro,Gross amount per month … Euro,,,,int,,,,,,,,,,,,,,,,,,,,,,
soep-is,soep-is-2012-haupt,,Q157.7,,157,"Für alle zutreffenden Einkünfte geben Sie bitte an, 
wie hoch derzeit der Betrag im Monat ist.
Betreuungsunterhalt
Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.","For all the applicable sources of income, please indicate how large an amount is each month. 
Caregiver alimony (""Betreuungsunterhalt"") 
If you are unable to state the exact amount, please estimate","Falls die Zielperson grundsätzlich nicht bereit ist, Angaben über das Einkommen zu geben, weisen Sie sie bitte darauf hin, dass es sich hierbei um eine zentrale Frage handelt.

Bruttobetrag heißt: vor Abzug eventueller Steuern oder Sozialversicherungsbeiträge. Falls Sie mehrere haben, bitte zusammenrechnen!","If the target person is basically not willing to give details of the income, please point out that this is a key issue",,txt,,,"Caregiver alimony (""Betreuungsunterhalt"") - Income ",,,,,,,,,,,,,,Einkünfte - Betreuungsunterhalt,pek211,P12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,pek211,Q157.7,pek211,157,Bruttobetrag pro Monat … Euro,Gross amount per month … Euro,,,,int,,,,,,,,,,,,,,,,,,,,,,
soep-is,soep-is-2012-haupt,,Q157.8,,157,"Für alle zutreffenden Einkünfte geben Sie bitte an, 
wie hoch derzeit der Betrag im Monat ist.
Nachehelicher Unterhalt, Trennungsunterhalt
Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.","For all the applicable sources of income, please indicate how large an amount is each month. 
Divorce alimony (""Nachehelicher Unterhalt""),alimony during separation (""Trennungsunterhalt"")
If you are unable to state the exact amount, please estimate","Falls die Zielperson grundsätzlich nicht bereit ist, Angaben über das Einkommen zu geben, weisen Sie sie bitte darauf hin, dass es sich hierbei um eine zentrale Frage handelt.

Bruttobetrag heißt: vor Abzug eventueller Steuern oder Sozialversicherungsbeiträge. Falls Sie mehrere haben, bitte zusammenrechnen!","If the target person is basically not willing to give details of the income, please point out that this is a key issue",,txt,,,"Divorce alimony (""Nachehelicher Unterhalt""),alimony during separation (""Trennungsunterhalt"") - Income ",,,,,,,,,,,,,,"Einkünfte - Nachehelicher Unterhalt, Trennungsunterhalt",pek221,P12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,pek221,Q157.8,pek221,157,Bruttobetrag pro Monat … Euro,Gross amount per month … Euro,,,,int,,,,,,,,,,,,,,,,,,,,,,
soep-is,soep-is-2012-haupt,,Q157.9,,157,"Für alle zutreffenden Einkünfte geben Sie bitte an, 
wie hoch derzeit der Betrag im Monat ist.
Unterhaltszahlung aus Unterhaltsvorschusskassen
Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.","For all the applicable sources of income, please indicate how large an amount is each month. 
Support payment paid through a ending program for support payments (""Unterhaltszahlung aus Unterhaltsvorschusskassen"")
 If you are unable to state the exact amount, please estimate","Falls die Zielperson grundsätzlich nicht bereit ist, Angaben über das Einkommen zu geben, weisen Sie sie bitte darauf hin, dass es sich hierbei um eine zentrale Frage handelt.

Bruttobetrag heißt: vor Abzug eventueller Steuern oder Sozialversicherungsbeiträge. Falls Sie mehrere haben, bitte zusammenrechnen!","If the target person is basically not willing to give details of the income, please point out that this is a key issue",,txt,,,"Support payment paid through a ending program
for support payments
(""Unterhaltszahlung aus Unterhaltsvorschusskassen"") - Income ",,,,,,,,,,,,,,Einkünfte - Unterhaltszahlung aus Unterhaltsvorschusskassen,pek181,P12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,pek181,Q157.9,pek181,157,Bruttobetrag pro Monat … Euro,Gross amount per month … Euro,,,,int,,,,,,,,,,,,,,,,,,,,,,
soep-is,soep-is-2012-haupt,,Q157.10,,157,"Für alle zutreffenden Einkünfte geben Sie bitte an, 
wie hoch derzeit der Betrag im Monat ist.
BAföG, Stipendium, Berufsausbildungsbeihilfe
Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.","For all the applicable sources of income, please indicate how large an amount is each month. 
BAföG (state support for higher education),grants, vocational training support(""Stipendium, Berufsausbildungsbeihilfe"")
If you are unable to state the exact amount, please estimate","Falls die Zielperson grundsätzlich nicht bereit ist, Angaben über das Einkommen zu geben, weisen Sie sie bitte darauf hin, dass es sich hierbei um eine zentrale Frage handelt.

Bruttobetrag heißt: vor Abzug eventueller Steuern oder Sozialversicherungsbeiträge. Falls Sie mehrere haben, bitte zusammenrechnen!","If the target person is basically not willing to give details of the income, please point out that this is a key issue",,txt,,,"BAföG (state support for higher education),grants, vocational training support(""Stipendium, Berufsausbildungsbeihilfe"") - Income ",,,,,,,,,,,,,,"Einkünfte - BAföG, Stipendium, Berufsausbildungsbeihilfe",pek081,P12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,pek081,Q157.10,pek081,157,Bruttobetrag pro Monat … Euro,Gross amount per month … Euro,,,,int,,,,,,,,,,,,,,,,,,,,,,
soep-is,soep-is-2012-haupt,,Q157.11,,157,"Für alle zutreffenden Einkünfte geben Sie bitte an, 
wie hoch derzeit der Betrag im Monat ist.
Wehrsold bei freiwilligem Wehrdienst, Aufwandsentschädigung für Freiwilliges soziales/ökologisches Jahr oder Bundesfreiwilligendienst
Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.","For all the applicable sources of income, please indicate how large an amount is each month. 
Pay for voluntar military service, expense allowance for voluntary social/ ecological year or voluntary social service
If you are unable to state the exact amount, please estimate","Falls die Zielperson grundsätzlich nicht bereit ist, Angaben über das Einkommen zu geben, weisen Sie sie bitte darauf hin, dass es sich hierbei um eine zentrale Frage handelt.

Bruttobetrag heißt: vor Abzug eventueller Steuern oder Sozialversicherungsbeiträge. Falls Sie mehrere haben, bitte zusammenrechnen!","If the target person is basically not willing to give details of the income, please point out that this is a key issue",,txt,,,"Pay for voluntar military service, expense allowance for voluntary social/ ecological year or voluntary social service - Income ",,,,,,,,,,,,,,Einkünfte -  Wehrsold; Aufwandsentschädigung für Freiwilliges soziales/ökologisches Jahr/ Bundesfreiwilligendienst,pek091,P12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,pek091,Q157.11,pek091,157,Bruttobetrag pro Monat … Euro,Gross amount per month … Euro,,,,int,,,,,,,,,,,,,,,,,,,,,,
soep-is,soep-is-2012-haupt,,Q157.12,,157,"Für alle zutreffenden Einkünfte geben Sie bitte an, 
wie hoch derzeit der Betrag im Monat ist.
Sonstige Unterstützung von Personen, die nicht im Haushalt leben
Wenn Sie den monatlichen Betrag nicht genau sagen können, geben Sie bitte einen Schätzbetrag an.","For all the applicable sources of income, please indicate how large an amount is each month. 
Other types of financial assistance from personswho do not live in the household 
If you are unable to state the exact amount, please estimate","Falls die Zielperson grundsätzlich nicht bereit ist, Angaben über das Einkommen zu geben, weisen Sie sie bitte darauf hin, dass es sich hierbei um eine zentrale Frage handelt.

Bruttobetrag heißt: vor Abzug eventueller Steuern oder Sozialversicherungsbeiträge. Falls Sie mehrere haben, bitte zusammenrechnen!","If the target person is basically not willing to give details of the income, please point out that this is a key issue",,txt,,,Other types of financial assistance from personswho do not live in the household -Income,,,,,,,,,,,,,,"Einkünfte - Sonstige Unterstützung von Personen, die nicht im Haushalt leben",pek111,P12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,pek111,Q157.12,pek111,157,Bruttobetrag pro Monat … Euro,Gross amount per month … Euro,,,,int,,,,,,,,,,,,,,,,,,,,,,
soep-is,soep-is-2012-haupt,p7tag,Q158,,158,"Haben Sie während der letzten 7 Tage irgendeine bezahlte Arbeit ausgeübt, auch wenn dies nur für eine Stunde oder für wenige Stunden war?","Have you been engaged in paid work during the last 7 days,
even if this work was only for an hour or just a few hours?","Bitte antworten Sie auch mit ""JA"", wenn Sie in den letzten sieben Tagen normalerweise gearbeitet hätten, aber wegen Urlaub, Krankheit, schlechtem Wetter oder anderen Gründen zeitweise abwesend waren.","Please answer yes also if you normally would have worked in the last seven days,
but because of holidays, sickness, bad weather, or other reasons did not do so.",p7tag,cat,,,Last 7 days / work,,,,422,1202,1204,Q158 | P7TAG | Letzte 7 Tage / Arbeit,p7tag,Single coded,,1,,,Letzte 7 Tage / Arbeit,p7tag,P12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,perz,Q159,,159,"Sind Sie zur Zeit im Mutterschutz oder in der gesetzlich geregelten ""Elternzeit""?","Are you currently under maternity protection or in the legally regulated ""Elternzeit""",,,perz,cat,,,Maternity / parental leave,,,,423,1203,1205,Q159 | PERZ | Mutterschutz / Elternzeit,perz,Single coded,,1,,,Mutterschutz / Elternzeit,perz,P12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lsabx,Q160,,160,Besitzen Sie einen Schulabschluss?,Do you hold a school leaving certificate?,,,lsab x,cat,,,School leaving certificate,"""JA"" nicht umsetzen",,,424,1204,1206,Q160 | LSAB X | Schulabschluss,lsab x,Single coded,,1,,,Schulabschluss Ja/Nein,"lsab2, lsab7",L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lsab3,Q161,,161,In welchem Land haben Sie Ihren Schulabschluss erworben? War das...,In which country did you receive your school leaving certificate?,,,lsab3,cat,Q160;LSABX=1,,"School leaving certificate, country",,,,425,1205,1207,Q161 | LSAB3 | Schulabschluss Land,lsab3,Single coded,,1,,,Schulabschluss Land,lsab3,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lsab7x,Q162,,162,Welchen Schulabschluss haben Sie?,What kind of school leaving certificate did you receive?,,,lsab7 x,cat,Q161;LSAB3=1,,"School leaving certificate, FRG",,,,426,1206,1208,Q162 | LSAB7 X | Schulabschluss BRD,lsab7 x,Single coded,,1,,,Schulabschluss BRD, lsab7,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lsab7y,Q163,,163,Welchen Schulabschluss haben Sie?,What kind of school leaving certificate did you receive?,,,lsab7 y,cat,Q161;LSAB3=2,,"School leaving certificate, GDR",,,,427,1207,1209,Q163 | LSAB7 Y | Schulabschluss DDR,lsab7 y,Single coded,,1,,,Schulabschluss DDR, lsab7,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lsab9,Q164,,164,Bitte nennen Sie mir den anderen Schulabschluss.,Please state the other school-leaving certificate.,,,,chr,Q161;LSAB3=3 & (Q162;LSAB7X=5 or Q163;LSAB7Y=4),,"School leaving certificate, other",,,,428,1208,1210,Q164 | LSAB9 | Anderer Schulabschluss,lsab9,Numeric,,1,,,Anderer Schulabschluss,lsab9,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lsab5,Q165,,165,Welchen Schulabschluss haben Sie?,What kind of school leaving certificate did you receive?,,,lsab5,cat,Q161;LSAB3=3,,"School leaving certificate, foreign country",,,,429,1209,1211,Q165 | LSAB5 | Schulabschluss Ausland,lsab5,Single coded,,1,,,Schulabschluss Ausland,lsab5,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,,Q166,,166,In welchem Jahr haben Sie zuletzt die Schule besucht?,What year did you last attend school?,,,,txt,,,Last school attendance,,,,430,1210,1212,Q166 | LSAB1 | letzter Schulbesuch,lsab1,Numeric,,1,,,letzter Schulbesuch,lsab1,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lsab1,Q166,lsab1,166,Jahr,Year,,,,int,,,,,,,,,,,,,,,,,,,,,,
soep-is,soep-is-2012-haupt,lab01,Q167,,167,Haben Sie eine Berufsausbildung oder ein Studium abgeschlossen?,Did you complete vocational training or a university degree?,,,lab01,cat,,,Vocational training or a university degree,,,,431,1211,1213,Q167 | LAB01 | Berufsausbildung,lab01,Single coded,,1,,,Berufsausbildung,lab01,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,,Q168,,168,Was für ein Ausbildungs- oder Studiumsabschluss ist das?,What type of vocational training or university degree was it?,"Mehrfachnennungen möglich!
Liste 168 vorlegen!","Multiple respones posible.
Show list 168!",,txt,Q167;LAB01=1,,Type of vocational training,,,,432,1212,1224,Q168 | LAB X | Art der Berufsausbildung,lab x,Multi coded,,1,,,Art der Berufsausbildung,,,,,
soep-is,soep-is-2012-haupt,lab02,Q168,lab02,168,Gewerbliche oder landwirtschaftliche Lehre,Apprenticeship in crafts / trades / agriculture,,,,bin,,,Type of vocational training or a university degree: Apprenticeship in crafts / trades / agriculture,,,,433,,,,,,,1,,,Art der Berufsausbildung,lab02,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lab02,Q168,2,168,Kaufmännische oder sonstige Lehre,Commercial or other apprenticeship,,,,bin,,,Type of vocational training or a university degree:  Commercial or other apprenticeship,,,,434,,,,,,,1,,,,lab02,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lab03,Q168,lab03,168,"Berufsfachschule, Handelsschule",Full-time vocational school / commercial college,,,,bin,,,Vocational training or a university degree – Full-time vocational school / commercial college,,,,435,,,,,,,1,,,"Art der Berufsausbildung - Berufsfachschule, Handelsschule",lab03,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lab03,Q168,4,168,Schule des Gesundheitswesens,Health sector school,,,,bin,,,Type of vocational training or a university degree: Health sector school,,,,436,,,,,,,1,,,Art der Berufsausbildung - Schule des Gesundheitswesens,lab03,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lab04,Q168,lab04,168,"Fachschule, zum Beispiel Meister-, oder Technikerschule",Vocational school such as a school for master craftspeople or technical college,,,,bin,,,Type of vocational training or a university degree: Vocational school or technical college,,,,437,,,,,,,1,,,"Art der Berufsausbildung - Fachschule, zum Beispiel Meister-, oder Technikerschule",lab04,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lab05,Q168,lab05,168,Beamtenausbildung,Training for civil servants,,,,bin,,,Type of vocational training or a university degree: Training for civil servants,,,,438,,,,,,,1,,,Art der Berufsausbildung - Beamtenausbildung,lab05,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lab06,Q168,lab06,168,"Fachhochschule, Ingenieursschule",Technical college / school of engineering,,,,bin,,,Type of vocational training or a university degree: Technical college / school of engineering,,,,439,,,,,,,1,,,"Art der Berufsausbildung - Fachhochschule, Ingenieursschule",lab06,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lab07,Q168,lab07,168,"Universität, Hochschule ohne Promotion",University without a doctoral degree,,,,bin,,,Type of vocational training or a university degree: University without a doctoral degree,,,,440,,,,,,,1,,,"Art der Berufsausbildung - Universität, Hochschule ohne Promotion",lab07,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lab07,Q168,8,168,"Universität, Hochschule mit Promotion",University with a doctoral degree,,,,bin,,,Type of vocational training or a university degree: University with a doctoral degree,,,,441,,,,,,,1,,,Art der Berufsausbildung - Hochschule mit Promotion,lab07,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lab08,Q168,lab08,168,Sonstiger Ausbildungsabschluss,Other vocational training or university degree,,,,bin,,,Type of vocational training or a university degree: Other,,,,442,,,,,,,1,,,Art der Berufsausbildung - Sonstiger Ausbildungsabschluss,lab08,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lab08ka,Q168,lab08ka,168,Keine Angabe,No answer,,,,bin,,,,,,,,,,,,,,,,,,,,,,
soep-is,soep-is-2012-haupt,lab08x,Q169,,169,Bitte nennen Sie Ihren sonstigen Ausbildungsabschluss.,Please state the other school-leaving certificate.,,,,chr,Q168;LABX=10,,Type of vocational training or a university degree: No answer,,,,443,1213,1225,Q169 | LAB08X | Sonstiger Berufsabschluss,lab08x,Numeric,,1,,,Sonstiger Berufsabschluss,lab08x,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,paus1,Q170,,170,"Sind Sie derzeit in Ausbildung? Das heißt: Besuchen Sie eine Schule oder Hochschule, einschließlich Promotion, machen Sie eine Berufsausbildung oder nehmen Sie an einem Weiterbildungslehrgang teil?","Are you currently enrolled in an educational or training program? In other words: are you in school or higher education, working on a doctors degree, completing vocational training, or taking part in further training?",,,paus1,cat,,,Educational or training program,,,,444,1224,1226,Q170 | PAUS1 | Ausbildung,paus1,Single coded,,1,,,Ausbildung,paus1,P12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,pausx,Q171,,171,Was für eine Ausbildung oder Weiterbildung ist das?,What kind of training or further training is it?,,,paus x,cat,Q170;PAUS1=1,,Type of further education or training program,,,,445,1225,1231,Q171 | PAUS X | Art der Ausbildung,paus x,Multi coded,,1,,,Art der Ausbildung,"paus2, paus5, paus3, paus4",P12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,paus2,Q172,,172,Um welche Art allgemeinbildende Schule handelt es sich?,What kind of general education / secondary school is it?,Bitte Liste 172 vorlegen!,Please show list 172!,paus2,cat,Q171;PAUSX=1,,Type of general education / secondary school,,,,450,1226,1232,Q172 | PAUS2 | Art allgemeinbildende Schule,paus2,Single coded,,1,,,Art allgemeinbildende Schule,paus2,P12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lal10a,Q173,,173,"Waren Sie in den letzten 10 Jahren, also von Anfang 2002 bis heute, irgendwann einmal beim Arbeitsamt arbeitslos gemeldet?","Were you registered unemployed at the unemployment office (Arbeitsamt) any time in the last 10 years, that is, from the beginning of 2002 to today?",,,lal10a,cat,,,Unemployment past 10 years,,,,451,1231,1233,Q173 | LAL10A | Arbeitslosigkeit letzten 10 Jahre,lal10a,Single coded,,1,,,Arbeitslosigkeit letzten 10 Jahre,lal10a,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,,Q174,,174,Wie häufig sind Sie von 2002 bis heute arbeitslos gewesen?,How often have you been unemployed since 2002?,,,,txt,Q173;LAL10A=1,,Number of periods of unemployment,,,,452,1232,1234,Q174 | LAL10B | Anzahl Arbeitslosigkeitsperioden,lal10b,Numeric,,1,,,Anzahl Arbeitslosigkeitsperioden,lal10b,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lal10b,Q174,lal10b,,… mal,… times,,,,int,,,,,,,,,,,,,,,,,,,,,,
soep-is,soep-is-2012-haupt,palo,Q175,,175,Sind Sie zur Zeit beim Arbeitsamt arbeitslos gemeldet?,"Are you registered as unemployed at the Employment Office (""Arbeitsamt"")?",,,palo mit lela,cat,Q173;LAL10A=1,,Unemployment currently,,,,453,1233,1235,Q175 | PALO mit Lela | Arbeitslosigkeit derzeit,palo mit lela,Single coded,,1,,,Arbeitslosigkeit derzeit,palo,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,,Q176,,176,Wenn Sie einmal alle diese Zeiten der Arbeitslosigkeit bis heute zusammenzählen: Wie viele Monate waren Sie seit 2002 alles in allem arbeitslos?,"If you added up all your phases of unemployment up to the present day, how many months in total were you unemployed between 2002 and today?",,,,txt,Q173;LAL10A=1,,Unemployment months,,,,454,1234,1236,Q176 | LAL10C | Monate Arbeitslosigkeit,lal10c,Numeric,,1,,,Monate Arbeitslosigkeit,lal10c,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lal10c,Q176,lal10c,176,Monate,Months,,,,int,,,,,,,,,,,,,,,,,,,,,,
soep-is,soep-is-2012-haupt,,Q177,,177,"In wie vielen Stellen beziehungsweise bei wie vielen Arbeitgebern waren Sie in den letzten 10 Jahren, also seit Anfang 2002, beschäftigt?","How many jobs or employers have you had in the last 10 years, in other words, since the beginning of 2002?","Wenn Sie heute berufstätig sind, zählen Sie Ihre heutige Stelle bitte mit.","If you are working today, count your present location with, please.",,txt,,,Number of occupational activities,,,,455,1235,1237,Q177 | LBESCH10 | Anzahl berufliche Tätigkeiten,lbesch10,Single coded,,1,,,Anzahl berufliche Tätigkeiten,,,,,
soep-is,soep-is-2012-haupt,lbesch10,Q177,lbesch10,177,Anzahl Arbeitgeber/Stellen,Number of employers /jobs namely:,,,,int,,,Number of occupational activities,,,,455,1235,1237,Q177 | LBESCH10 | Anzahl berufliche Tätigkeiten,lbesch10,Single coded,,1,,,Anzahl berufliche Tätigkeiten, lbesch10n,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,lbesch10n,Q177,lbesch10n,177,,,,,lbesch10n,cat,,,"Number of occupational activities, Doesn't apply: self-employed",,,,455,1235,1237,Q177 | LBESCH10 | Anzahl berufliche Tätigkeiten,lbesch10,Single coded,,1,,,"Anzahl berufliche Tätigkeiten, Trifft nicht zu – selbstständig",lbesch10,L12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,palo_ohne_lela,Q178,,178,Sind Sie zur Zeit beim Arbeitsamt arbeitslos gemeldet?,"Are you registered as unemployed at the Employment Office (""Arbeitsamt"")?",,,palo ohne lela,cat,Q1;LELA=2,,Unemployment currently,,,,456,1236,1238,Q178 | PALO ohne Lela | Arbeitslosigkeit derzeit,palo ohne lela,Single coded,,1,,,Arbeitslosigkeit derzeit,palo,P12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,pend1,Q179,,179,"Sind Sie nach dem 31. Dezember 2010 aus einer beruflichen Tätigkeit beziehungsweise einer Stelle, die Sie vorher gehabt haben, ausgeschieden?","Did you resign from a professional activity or a job you had after December 31, 2010?","Hier ist auch Beurlaubung, Mutterschutz oder Elternzeit gemeint!","Leave of absence, maternity or parental leave is meant here as well!",pend1,cat,,,Resignation from work,,,,457,1237,1239,Q179 | PEND1 | Ausscheiden aus Tätigkeit,pend1,Single coded,,1,,,Ausscheiden aus Tätigkeit,pend1,P12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,,Q180,,180,Wann haben Sie bei dieser Stelle aufgehört zu arbeiten?,When did you stop working in that job?,"Wenn Sie seit Dezember 2010 aus mehreren Stellen ausgeschieden sind, beziehen Sie sich bitte auf die letzte Stelle.","If you resigned from more than one job after December, 2010, please refer to the last job.",,txt,Q179;PEND1=1,,Month / year withdrawal last job,,,,458,1238,1240,Q180 | PEND X | Monat/Jahr Ausstieg letzte Stelle,pend x,Single coded,,1,,,Monat/Jahr Ausstieg letzte Stelle,,,,,
soep-is,soep-is-2012-haupt,pend2,Q180,pend2,180,2011 im Monat:,2011 in month:,,,,int,,,Month 2011 exit last job,,,,458,1238,1240,Q180 | PEND X | Monat/Jahr Ausstieg letzte Stelle,pend x,Single coded,,1,,,Monat 2011 Ausstieg letzte Stelle,pend2,P12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,pend3,Q180,pend3,180,2012 im Monat:,2012 in month:,,,,int,,,Month 2012 exit last job,,,,458,1238,1240,Q180 | PEND X | Monat/Jahr Ausstieg letzte Stelle,pend x,Single coded,,1,,,Monat 2012 Ausstieg letzte Stelle,pend3,P12_IS_W4.sav,,,
soep-is,soep-is-2012-haupt,pendka,Q180,pendka,180,Keine Angabe,No answer,,,,bin,,,,,,,,,,,,,,,,,,,,,,
soep-is,soep-is-2012-haupt,perw,Q181,,181,Üben Sie derzeit eine Erwerbstätigkeit aus? Was trifft für Sie zu?,Are you currently engaged in paid employment? Which of the following applies best to your status? ,"Rentner oder Personen im Bundesfreiwilligendienst, die zusätzlich eine Erwerbstätigkeit ausüben, geben hier bitte die Erwerbstätigkeit an.

Bitte Liste 181 vorlegen!","Pensioners with a job contract are considered employed.

Please show list 181!",perw,cat,,,Current Employment Status,,,,459,1239,1249,Q181 | PERW | Erwerbsstatus,perw,Multi coded,,1,,,Erwerbsstatus,perw,P12_IS_W4.sav,,,
